TrendID,TrendName,Description,StartDate,EndDate,MarketSegment,ImpactScore,Source,IsActive,LastUpdated
1,Clear,Must what career whatever.,2023-10-29,2020-01-11,Remember,8.5,Chapman LLC,False,2024-01-06
2,Feel,Choice employee forget too late capital course.,2023-02-17,2020-02-01,Race,8.9,Esparza-Thompson,True,2024-04-25
3,Majority,Edge material message sense key.,2022-07-07,2022-11-19,Some,3.8,"Butler, Holt and Davis",False,2024-02-02
4,Them,Garden leave figure radio.,2024-01-07,2020-11-16,Power,2.3,"Martinez, Powell and Blair",True,2024-02-18
5,Visit,Down project risk commercial beyond catch near.,2022-09-01,2023-04-26,Mouth,2.4,"Lopez, Glenn and Butler",False,2024-04-09
6,Keep,Small information price national.,2022-12-02,2023-05-19,Purpose,7.2,"Leach, Johnson and Morris",False,2024-04-11
7,Civil,Enjoy when central reduce there hotel.,2021-05-14,2023-09-15,Recognize,4.9,Lowery-Allen,False,2024-03-27
8,Cost,Scene again bill computer six carry size.,2022-02-25,2020-07-21,Day,9.3,Lee and Sons,False,2024-02-28
9,Walk,Almost common middle rate star join foot.,2024-04-13,2022-12-15,Wait,7.6,"Daniels, Espinoza and Esparza",False,2024-03-15
10,Him,Guy well myself author perform.,2024-03-17,2022-01-25,Throughout,1.5,James PLC,False,2024-04-23
11,They,Smile reflect media nor tend hotel effort.,2021-03-21,2024-04-27,Responsibility,5.9,King-Chavez,True,2024-05-21
12,Stay,Own Congress parent begin imagine.,2021-11-10,2023-08-22,Seat,6.0,Kent PLC,True,2024-06-08
13,Issue,Special partner bit the certainly wonder live.,2021-07-17,2024-02-03,Catch,7.7,Forbes PLC,True,2024-01-02
14,Back,Candidate young economic stuff. Six my final.,2022-10-17,2022-10-02,Black,3.2,Austin Group,False,2024-03-04
15,Music,Threat carry include tend involve whether ball.,2024-01-14,2022-03-22,Pressure,1.2,Mitchell-Carter,True,2024-05-03
16,Trip,Hold about seem.,2023-02-02,2023-11-11,Prove,3.1,Scott LLC,True,2024-03-24
17,Me,But me sense within win indeed.,2020-04-18,2023-06-29,Person,8.0,Gonzalez Inc,False,2024-01-10
18,Hot,Security third buy activity life his thousand.,2020-08-06,2020-06-06,Former,2.1,"Calhoun, Diaz and Cardenas",True,2024-06-12
19,Public,Cold answer reason public stock. Our step role.,2020-07-08,2022-02-23,Free,8.3,"Dawson, Reid and James",True,2024-01-12
20,Want,Meeting stop head court also local stop same.,2021-07-11,2022-09-15,Dark,4.4,Lee-Holmes,True,2024-05-02
21,Enter,Chair raise bed close car image hair.,2020-10-24,2021-11-04,Word,7.0,"Lopez, Bautista and Davis",True,2024-04-30
22,Mean,Suffer mention people understand.,2021-10-10,2020-03-13,Provide,1.6,Cruz-Morales,False,2024-05-19
23,Think,Think others family from agreement glass.,2024-02-27,2021-08-02,Teach,3.1,"Galloway, Velasquez and Bowman",False,2024-03-31
24,Reality,Through describe ground woman.,2020-05-31,2021-07-28,Interview,7.2,Cummings-Rodriguez,False,2024-05-06
25,Partner,Me window contain challenge assume.,2022-06-23,2020-01-22,Edge,2.1,"Andrade, Moore and Richards",False,2024-01-20
26,Big,Else main election what your.,2024-03-07,2024-03-01,Sound,2.3,Ballard PLC,True,2024-05-09
27,Attorney,Million degree company such catch.,2023-03-19,2024-04-13,Staff,9.9,Parsons-Gonzalez,False,2024-01-16
28,Police,Girl candidate foreign decision.,2021-10-22,2024-03-12,Network,7.5,Cobb-Murillo,False,2024-03-26
29,Type,Adult once treatment sound specific sea.,2023-02-24,2022-08-05,Although,7.5,Morgan PLC,False,2024-05-06
30,Race,Record PM build box work add chance.,2023-07-15,2021-11-17,Over,3.9,"Williams, Mcmillan and Black",False,2024-02-04
31,Job,Crime country us public line enter.,2021-03-26,2020-02-18,Customer,2.6,Lee-Graham,False,2024-05-31
32,Suddenly,Region return certainly choice politics action.,2020-08-29,2023-08-25,Home,8.8,Sanchez Ltd,False,2024-06-03
33,Account,Sell any can.,2021-04-28,2020-10-04,Product,6.5,"Newman, Davis and Burns",True,2024-03-17
34,Possible,Also detail include free true.,2020-11-28,2023-06-03,Want,2.1,"Barber, Hogan and Hall",False,2024-05-10
35,On,Him wrong citizen structure manager president.,2021-06-28,2020-01-24,Relationship,9.3,"Krause, Hicks and Hogan",False,2024-05-12
36,Site,Appear hot moment who occur low.,2020-02-14,2023-04-27,Plant,8.2,Klein PLC,False,2024-03-11
37,Tend,Economy only child unit.,2020-06-06,2022-04-14,Use,8.7,Carter-Bailey,False,2024-02-03
38,World,Against leader author relate work add edge.,2023-05-30,2023-06-06,Theory,8.3,Klein and Sons,False,2024-01-22
39,No,Debate claim mind.,2023-01-08,2020-05-25,Cause,2.4,Ellis PLC,False,2024-02-28
40,Black,Meeting loss he. Life newspaper score without.,2023-03-28,2022-01-19,Home,8.7,"Lewis, Johnson and Davenport",True,2024-04-13
41,Government,Successful east box grow hope although.,2021-04-14,2023-10-20,Series,6.7,"Villa, Santiago and Powell",False,2024-01-26
42,Fine,Evidence common including baby.,2023-07-16,2023-04-12,Something,1.1,"Smith, Garcia and Powell",True,2024-05-20
43,Paper,Yeah message late. Identify a trade do travel.,2021-03-27,2021-06-06,Season,2.3,"Diaz, Dominguez and Horne",False,2024-04-26
44,Themselves,Great tax prevent.,2022-10-26,2021-02-22,Pressure,5.5,"Green, Carr and Ibarra",True,2024-04-24
45,Project,Piece yeah section about gas student.,2024-06-02,2021-02-02,Material,9.8,"Phillips, Huff and Wilkinson",True,2024-03-06
46,Myself,Truth thought wide bank experience enter long.,2024-02-05,2024-02-10,Interest,5.1,Murphy PLC,True,2024-01-06
47,Water,Newspaper seek serious how up run.,2021-04-29,2024-04-04,Truth,8.8,Nelson-Mercado,True,2024-04-06
48,Blue,Before spend soldier. Change position be ball.,2024-04-19,2022-09-03,West,6.1,"Pena, Fernandez and Wallace",False,2024-04-03
49,Sing,Thus kid list his.,2020-03-20,2023-02-19,Decide,4.4,"Tucker, Mccormick and Oconnor",True,2024-04-26
50,After,Certainly near strong hotel easy rate wall.,2023-06-03,2023-02-23,Serve,5.4,Paul PLC,False,2024-05-20
51,Subject,Hundred care than later field likely never.,2020-03-01,2022-10-07,Care,1.4,Ellis LLC,True,2024-03-29
52,Small,Need view that at character.,2022-06-23,2024-03-08,Top,9.1,"Wright, Wade and Erickson",True,2024-05-07
53,Similar,Billion candidate able top easy east.,2023-05-13,2024-03-13,Civil,8.2,"Patterson, Simon and Contreras",True,2024-05-23
54,Camera,Successful form project evidence.,2020-10-03,2020-12-23,Network,1.6,Wright-Atkinson,False,2024-01-16
55,Address,Professor agent accept analysis.,2020-04-22,2023-11-26,Down,3.3,"Hernandez, Todd and Robinson",False,2024-01-24
56,Eight,Sister high work other.,2022-01-25,2021-11-18,Across,3.4,"King, Sherman and Mendez",True,2024-01-28
57,Remain,Address seat learn.,2021-10-04,2021-02-24,Become,5.9,Huff-Woods,False,2024-01-04
58,See,Idea wife hard word night focus.,2023-01-22,2020-08-04,Garden,1.9,"Prince, Hines and Brown",True,2024-02-29
59,Thought,Radio clear not green power open.,2022-06-18,2021-11-30,Fire,6.5,Dougherty-Taylor,True,2024-02-12
60,Few,The answer southern law organization.,2024-06-03,2021-10-25,Produce,1.7,"Horn, Smith and Moore",False,2024-03-30
61,Others,Field TV task activity good point.,2021-03-13,2022-05-25,Modern,6.8,Rogers and Sons,False,2024-04-03
62,Name,Sometimes try safe eye night management.,2023-07-15,2024-04-15,Fund,2.0,Ramirez LLC,False,2024-05-13
63,Shake,Record how media figure democratic now process.,2021-01-09,2023-04-26,Idea,7.4,Waller Ltd,True,2024-04-15
64,Knowledge,Which off law live.,2021-12-05,2024-01-24,Mention,1.2,Petty PLC,False,2024-04-11
65,Player,Cultural state entire pattern fill often.,2024-06-11,2021-05-28,Hundred,4.9,"Avery, Shelton and Patton",False,2024-02-14
66,Degree,Throughout impact such development.,2020-05-25,2023-01-19,Carry,1.9,Schneider-Jackson,True,2024-05-29
67,On,Now a figure person here somebody cultural.,2020-05-13,2023-09-19,True,8.0,Holland-Ruiz,False,2024-04-25
68,West,Religious account fill.,2023-12-22,2022-10-13,Foot,5.4,Robinson Inc,False,2024-05-18
69,Much,Age couple him one wall space candidate small.,2020-09-14,2023-07-09,Describe,8.2,Young-Valdez,False,2024-05-30
70,Happy,Kid operation pattern require member.,2024-06-08,2021-05-18,Term,1.2,Carpenter-Moreno,True,2024-01-31
71,Even,Republican approach than assume.,2021-05-18,2024-03-13,A,4.2,Martinez Inc,True,2024-03-16
72,Head,Fight while walk. Military carry rock.,2021-05-21,2023-04-13,Too,8.2,George-Wallace,True,2024-04-08
73,Fill,See listen garden kid other black sea.,2022-10-25,2020-11-21,Serve,8.1,Martin-Myers,True,2024-01-15
74,War,Determine brother candidate movie control worker.,2024-01-23,2021-01-12,Eat,7.3,Dixon Inc,True,2024-02-09
75,Wife,Soldier baby start fall key I nature claim.,2022-09-12,2023-08-19,Inside,4.3,Gordon PLC,True,2024-02-09
76,Theory,Culture wall reach many hospital.,2024-03-06,2021-05-06,Only,3.4,"George, Cruz and Rodriguez",True,2024-06-13
77,Difficult,Drug live employee with heart.,2021-10-02,2022-10-06,Drop,8.6,Thomas PLC,False,2024-04-11
78,Action,General price herself at leave.,2022-02-28,2021-02-18,Probably,8.8,Dixon-Valdez,True,2024-05-06
79,Husband,Structure class week husband several mother.,2024-01-29,2021-04-30,Fast,1.2,"Erickson, Downs and Horne",True,2024-05-08
80,Low,Teacher husband painting huge test fund.,2021-02-02,2022-05-01,Total,4.1,Miller PLC,True,2024-02-03
81,Affect,They none chance herself development black.,2023-12-04,2022-06-07,Which,7.8,"Hamilton, Odom and Thomas",False,2024-06-08
82,Black,Partner appear little dinner management prepare.,2023-04-15,2020-05-04,Per,8.0,"Perry, Fuller and Garcia",False,2024-01-11
83,Per,Cultural then range authority watch type.,2024-02-26,2024-02-10,Together,4.9,Delgado-Horton,False,2024-03-28
84,Five,Soon happen suddenly operation turn reflect.,2020-07-04,2024-01-20,From,2.0,Butler-Pham,False,2024-03-02
85,Likely,Traditional the source today.,2022-07-16,2021-06-03,Even,3.3,"Li, Lewis and Moore",True,2024-05-01
86,Around,It statement project event form production.,2021-01-14,2023-02-13,Unit,2.7,Nguyen-Wade,False,2024-02-19
87,Add,Policy specific woman idea buy second process.,2023-09-08,2021-04-28,Defense,4.8,Greene-Martinez,True,2024-01-11
88,If,Approach factor financial old under owner.,2023-03-08,2021-09-23,Wall,9.6,Hanson-Silva,True,2024-06-12
89,Final,Together card his which.,2021-01-17,2022-01-10,By,3.3,Miller-Gutierrez,False,2024-04-29
90,Service,Matter there manager billion could base possible.,2021-03-20,2022-11-26,Major,2.3,Lang-Wilson,False,2024-01-06
91,Recent,Find want under while.,2022-05-19,2024-02-04,Could,3.3,Arellano Ltd,False,2024-05-23
92,Leg,And place reality person discover.,2020-03-27,2022-09-11,Hospital,8.9,Mills-Jimenez,True,2024-04-05
93,Beautiful,Minute again hot training husband.,2021-12-27,2022-04-11,Mrs,9.5,Allen-Bautista,True,2024-05-05
94,Which,Range community heart explain east.,2021-04-14,2023-11-26,Lead,1.2,"Carey, Fields and Freeman",False,2024-06-06
95,Responsibility,Place doctor senior.,2020-12-06,2020-08-13,Bad,9.4,Scott Inc,True,2024-01-06
96,Save,Wonder perhaps set science language soldier help.,2023-08-10,2023-08-12,Possible,6.1,Ramsey-Owens,True,2024-05-06
97,Notice,Character experience value still tend story.,2021-11-11,2022-01-27,Exactly,5.7,Glass-Brown,False,2024-05-11
98,Wind,Group million loss trouble.,2021-04-09,2022-04-14,Floor,6.4,Hopkins Inc,True,2024-05-02
99,Car,Reduce have know military nor large listen.,2022-05-05,2023-04-05,Audience,4.0,"Ramirez, Williams and Dudley",True,2024-03-07
100,Important,Back not body suffer black American.,2020-09-08,2022-05-30,Where,2.9,"Nelson, Edwards and Brown",False,2024-04-18
